fecha,anio,trimestre,pob_jefatura_nal,pob_jefatura_hombres,pob_jefatura_mujeres,ing_jefatura_nal,ing_jefatura_hombres,ing_jefatura_mujeres
2005-01-01,2005.0,I,38.1,36.2,45.2,2605.92,2700.4,2268.47
2005-04-01,2005.0,II,38.8,36.4,46.7,2608.59,2710.83,2285.59
2005-07-01,2005.0,III,38.1,35.5,46.8,2641.13,2747.83,2271.76
2005-10-01,2005.0,IV,36.6,34.4,43.8,2729.02,2838.33,2357.85
2006-01-01,2006.0,I,36.2,34.0,43.7,2722.13,2821.1,2386.72
2006-04-01,2006.0,II,35.2,32.8,42.8,2783.78,2894.6,2423.35
2006-07-01,2006.0,III,35.8,33.5,43.2,2828.56,2945.92,2432.37
2006-10-01,2006.0,IV,36.3,34.2,43.3,2772.54,2886.37,2388.75
2007-01-01,2007.0,I,36.5,34.3,43.3,2768.23,2874.17,2416.61
2007-04-01,2007.0,II,34.7,32.4,41.7,2833.26,2944.79,2479.18
2007-07-01,2007.0,III,35.3,33.2,41.7,2798.32,2901.06,2485.49
2007-10-01,2007.0,IV,36.5,34.3,43.4,2792.74,2889.38,2492.8
2008-01-01,2008.0,I,36.6,34.7,42.8,2786.45,2873.86,2505.62
2008-04-01,2008.0,II,36.1,34.3,41.8,2785.54,2862.24,2542.26
2008-07-01,2008.0,III,37.6,35.9,43.1,2723.96,2808.74,2446.46
2008-10-01,2008.0,IV,39.3,37.4,45.3,2587.34,2651.63,2403.0
2009-01-01,2009.0,I,38.9,37.1,44.6,2599.77,2673.43,2369.61
2009-04-01,2009.0,II,40.4,38.8,46.2,2597.54,2656.28,2376.07
2009-07-01,2009.0,III,40.8,39.3,46.6,2531.6,2591.25,2313.45
2009-10-01,2009.0,IV,40.3,38.8,46.1,2480.38,2545.86,2240.0
2010-01-01,2010.0,I,41.3,39.8,46.7,2483.65,2555.24,2221.86
2010-04-01,2010.0,II,40.1,38.6,45.7,2528.56,2604.95,2247.97
2010-07-01,2010.0,III,40.1,38.6,45.6,2503.29,2570.0,2258.37
2010-10-01,2010.0,IV,41.7,40.2,47.2,2418.11,2480.67,2187.78
2011-01-01,2011.0,I,40.0,38.5,45.6,2473.78,2545.64,2210.18
2011-04-01,2011.0,II,39.9,38.6,44.7,2496.81,2562.55,2257.94
2011-07-01,2011.0,III,40.6,39.4,44.9,2487.08,2545.63,2275.2
2011-10-01,2011.0,IV,41.5,40.1,46.4,2444.09,2499.48,2243.96
2012-01-01,2012.0,I,40.8,39.3,46.1,2475.52,2532.58,2269.06
2012-04-01,2012.0,II,40.0,38.7,44.8,2531.97,2589.6,2322.82
2012-07-01,2012.0,III,42.0,40.4,47.6,2507.63,2570.07,2283.96
2012-10-01,2012.0,IV,42.7,41.4,47.0,2463.57,2532.93,2217.9
2013-01-01,2013.0,I,41.7,40.4,46.3,2492.87,2559.23,2253.45
2013-04-01,2013.0,II,42.3,41.2,46.4,2465.97,2523.3,2257.23
2013-07-01,2013.0,III,42.9,41.7,47.4,2441.77,2494.14,2259.19
2013-10-01,2013.0,IV,42.8,41.7,46.6,2447.39,2507.56,2234.8
2014-01-01,2014.0,I,42.8,41.6,47.4,2394.91,2458.9,2165.92
2014-04-01,2014.0,II,42.9,41.3,48.5,2358.27,2425.07,2118.8
2014-07-01,2014.0,III,43.8,42.4,48.6,2348.07,2411.55,2127.41
2014-10-01,2014.0,IV,45.4,44.4,48.9,2311.18,2360.65,2141.42
2015-01-01,2015.0,I,43.8,42.3,48.9,2367.05,2419.4,2187.31
2015-04-01,2015.0,II,44.0,42.7,48.3,2394.32,2452.54,2196.93
2015-07-01,2015.0,III,43.5,42.1,47.8,2450.87,2500.93,2283.09
2015-10-01,2015.0,IV,43.3,42.0,47.5,2439.79,2501.8,2237.71
2016-01-01,2016.0,I,42.9,41.6,47.1,2444.53,2495.77,2274.74
2016-04-01,2016.0,II,41.9,40.6,46.3,2479.51,2527.58,2320.66
2016-07-01,2016.0,III,41.1,39.5,46.0,2538.88,2602.01,2334.45
2016-10-01,2016.0,IV,41.4,40.2,45.4,2512.86,2561.79,2356.38
2017-01-01,2017.0,I,40.2,38.8,44.4,2518.86,2575.66,2335.41
2017-04-01,2017.0,II,41.5,40.0,46.2,2506.41,2574.16,2291.58
2017-07-01,2017.0,III,42.6,41.1,47.3,2488.28,2549.81,2292.2
2017-10-01,2017.0,IV,42.5,41.0,47.1,2452.3,2521.15,2233.82
2018-01-01,2018.0,I,40.7,39.3,44.9,2539.85,2604.8,2334.86
2018-04-01,2018.0,II,40.1,38.5,45.0,2584.4,2647.44,2387.77
2018-07-01,2018.0,III,40.2,38.6,45.2,2553.49,2631.93,2311.5
2018-10-01,2018.0,IV,40.7,39.2,45.2,2524.96,2592.65,2319.51
2019-01-01,2019.0,I,39.6,38.0,44.4,2607.01,2678.82,2392.38
2019-04-01,2019.0,II,39.0,37.3,43.9,2642.74,2718.29,2421.84
2019-07-01,2019.0,III,39.6,38.1,44.0,2637.52,2703.97,2444.71
2019-10-01,2019.0,IV,38.9,37.3,43.4,2671.49,2746.67,2456.3
2020-01-01,2020.0,I,36.6,35.1,41.1,2806.61,2881.83,2594.44
2020-04-01,2020.0,ll*,,,,,,
2020-07-01,2020.0,III,46.0,44.5,50.3,2460.5,2535.52,2253.08
2020-10-01,2020.0,IV,42.0,40.6,45.5,2603.83,2682.84,2392.7
2021-01-01,2021.0,I,42.0,40.5,46.2,2671.44,2757.08,2438.82
2021-04-01,2021.0,II,39.9,38.4,43.9,2747.68,2837.07,2508.58
2021-07-01,2021.0,III,40.7,39.4,44.4,2769.23,2861.9,2524.23
2021-10-01,2021.0,IV,40.3,38.7,44.4,2745.32,2834.76,2514.38
2022-01-01,2022.0,I,38.8,37.0,43.4,2850.25,2922.26,2667.58
2022-04-01,2022.0,II,38.3,36.8,42.1,2880.91,2970.39,2656.68
2022-07-01,2022.0,III,40.1,38.4,44.3,2807.49,2901.75,2572.53
2022-10-01,2022.0,IV,38.5,36.6,43.0,2862.65,2953.47,2640.33
2023-01-01,2023.0,I,37.7,36.0,42.0,3058.6,3154.88,2825.13
2023-04-01,2023.0,II,37.8,35.8,42.6,3076.13,3204.12,2775.62
2023-07-01,2023.0,III,37.3,35.5,41.5,3124.26,3244.73,2844.03
2023-10-01,2023.0,IV**,37.0,35.3,41.1,3139.61,3251.7,2880.86
2024-01-01,2024.0,I,35.8,33.9,40.1,3277.58,3411.01,2966.75
2024-04-01,2024.0,II,35.0,33.3,38.9,3350.84,3454.15,3113.58
2024-07-01,2024.0,III,35.1,33.2,39.4,3346.45,3470.34,3062.03
2024-10-01,2024.0,IV,35.4,33.6,39.5,3294.97,3410.98,3034.24
